"","Time","N","R2","RMSE","MAE","r","Slope","Intercept"
"line.201901",201901,28600,0.994101204856515,21547.6366706766,8771.24901492177,0.997091266174143,0.984750175466077,2687.92142474357
"line.201902",201902,28600,0.988048742746303,29064.6737165689,14841.0102030309,0.997217068685559,1.05596317254269,4573.8861996196
"line.201903",201903,28600,0.991775005428598,28052.276938556,12135.091519957,0.998053810475568,0.939601637118078,1142.17558727633
"line.201904",201904,28600,0.9936165949638,24249.7098531677,10857.2728758572,0.998139378783023,0.952498556649007,780.326252854804
"line.201905",201905,28600,0.995757351638429,19590.8746638012,8129.49862829063,0.998069606638863,0.976547204466951,4563.42134885614
"line.201906",201906,28600,0.988568098595244,33247.4824513066,10837.8648160254,0.997181780799023,0.919582343842328,11625.8327531312
"line.201907",201907,28600,0.977030938742783,50481.5470963294,19864.3793162165,0.998150229114181,0.869991334965192,8539.10790411358
"line.201908",201908,28600,0.996052140758449,18713.3161015853,8389.769646401,0.998072511943339,0.994783659872879,3917.57346223589
"line.201909",201909,28600,0.995416346663827,20668.9823026552,8187.6084903842,0.998286343953089,0.962679561075134,6676.64962503043
"line.201910",201910,28600,0.990246883413166,31890.6420634878,11371.8562095146,0.998241991507899,0.920546723469605,9794.22014939355
"line.201911",201911,28600,0.980990420665946,45608.1363177609,16956.370181997,0.998016362900736,0.883184510877959,9236.7790613084
"line.201912",201912,28600,0.960280016036477,71089.2048639675,30618.732413996,0.997739190134279,0.828623468539505,9085.4818318705
"line.202001",202001,28600,0.985714126385184,38560.3163458992,16212.6928441219,0.9984691403532,0.902428369529039,5192.74398815819
"line.202002",202002,28600,0.994461346618304,20878.84195903,8995.24529463501,0.998665865210271,1.04400581019739,-883.636141837171
"line.202003",202003,28600,0.973411274731601,41264.4367026881,15944.9366860116,0.997256793937076,1.12799338788196,-8538.12790818218
"line.202004",202004,28600,0.861093822713063,48639.2526483211,18928.476879542,0.937319908319622,0.982956376187507,-7428.54611884587
"line.202005",202005,28600,0.781367890786067,56266.3538576953,17082.0750857256,0.957197584796399,1.25661139831446,-15123.0548797637
"line.202006",202006,28600,0.813187988323286,89384.1217269151,35791.0990419257,0.988965012762152,1.34244864626093,-17599.4497564155
"line.202007",202007,28600,0.981925640054038,28968.4266232735,12914.338021563,0.991412430534508,1.01191666047351,408.542373590044
"line.202008",202008,28600,0.877208395405004,68943.4364412981,29769.0192486493,0.992133569266683,1.27414209619,-12450.607045735
"line.202009",202009,28600,0.949337360069579,47604.1854548763,17770.2386730892,0.993232311273479,1.16304850220988,-9962.70718593041
"line.202010",202010,28600,0.988530117567687,26543.7336421886,10083.9041450198,0.996833304928379,1.06445380534616,-9145.9742346389
"line.202011",202011,28600,0.986466209784168,26614.5612264335,11371.8143942139,0.99786434319448,1.08205991879654,-4185.69950918131
"line.202012",202012,28600,0.950336871136208,55544.3759659454,24676.1436571345,0.989616995166492,0.839720789237588,5708.76396553269
"line.total",201901,686400,0.975009472050287,43374.9113024506,15854.195303676,0.987427516015709,0.973132488097152,4818.30611654722
